Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
10.12.2024,128.228,127.213,128.511,127.213,9140000000.0,0.8
09.12.2024,127.21,125.946,127.542,125.946,9370000000.0,1.0
06.12.2024,125.946,127.856,127.872,125.833,11220000000.0,-1.5
05.12.2024,127.858,126.088,127.989,126.087,9530000000.0,1.4
04.12.2024,126.087,126.139,126.72,125.828,9390000000.0,-0.04
03.12.2024,126.139,125.235,126.417,125.233,9990000000.0,0.72
02.12.2024,125.236,125.668,125.901,124.734,11520000000.0,-0.34
29.11.2024,125.668,124.611,126.056,123.946,16399999999.999998,0.85
28.11.2024,124.61,127.667,127.668,124.39,12830000000.0,-2.4
27.11.2024,127.669,129.923,130.283,127.669,12320000000.0,-1.73
26.11.2024,129.922,129.043,130.361,129.042,9750000000.0,0.69
25.11.2024,129.036,129.125,129.495,128.932,14410000000.0,-0.07
22.11.2024,129.126,126.944,129.126,126.944,9190000000.0,1.74
21.11.2024,126.922,128.197,128.197,126.594,10270000000.0,-0.99
19.11.2024,128.197,127.768,128.579,127.235,9100000000.0,0.34
18.11.2024,127.768,127.791,128.277,127.226,10740000000.0,-0.02
14.11.2024,127.792,127.734,128.423,127.389,13140000000.0,0.05
13.11.2024,127.734,127.698,128.1,126.869,12690000000.0,0.03
12.11.2024,127.698,127.873,128.21,127.411,9520000000.0,-0.14
11.11.2024,127.874,127.829,128.095,127.306,8400000000.0,0.03
08.11.2024,127.83,129.647,129.647,126.973,13180000000.0,-1.43
07.11.2024,129.682,130.341,131.319,129.406,10520000000.0,-0.51
06.11.2024,130.341,130.613,130.67,128.822,10540000000.0,-0.24
05.11.2024,130.661,130.515,130.769,129.692,8560000000.000001,0.11
04.11.2024,130.515,128.13,130.609,128.128,9010000000.0,1.87
01.11.2024,128.121,129.718,129.902,128.07,9900000000.0,-1.23
31.10.2024,129.713,130.639,130.798,129.642,9070000000.0,-0.71
30.10.2024,130.639,130.73,131.027,130.473,7330000000.0,-0.07
29.10.2024,130.73,131.214,131.765,130.693,7640000000.0,-0.37
28.10.2024,131.213,129.894,131.421,129.894,7140000000.0,1.02
25.10.2024,129.893,130.067,130.529,129.806,8510000000.0,-0.13
24.10.2024,130.067,129.233,130.13,128.798,8310000000.000001,0.65
23.10.2024,129.233,129.949,129.949,128.589,7960000000.0,-0.55
22.10.2024,129.951,130.346,130.346,129.094,8220000000.000001,-0.31
21.10.2024,130.362,130.499,131.124,130.157,7770000000.0,-0.11
18.10.2024,130.499,130.793,131.725,130.121,8680000.0,-0.22
17.10.2024,130.793,131.716,131.716,129.902,7090000.0,-0.73
16.10.2024,131.75,131.045,132.233,130.78,10280000.0,0.54
15.10.2024,131.043,131.005,131.457,130.2,7980000.0,0.03
14.10.2024,131.005,129.992,131.22,129.729,8500000.0,0.78
11.10.2024,129.992,130.354,130.354,129.338,7970000.0,-0.28
10.10.2024,130.353,129.963,130.418,129.835,7620000.0,0.3
09.10.2024,129.962,131.51,131.52,129.719,9220000.0,-1.18
08.10.2024,131.512,132.016,132.016,130.371,9090000.0,-0.38
07.10.2024,132.018,131.792,132.943,131.676,7700000.0,0.17
04.10.2024,131.792,131.672,131.936,131.156,7050000.0,0.09
03.10.2024,131.672,133.514,133.514,131.176,9820000.0,-1.38
02.10.2024,133.515,132.495,134.922,132.495,9400000.0,0.77
01.10.2024,132.495,131.817,133.405,131.817,9840000.0,0.51
30.09.2024,131.816,132.761,133.12,131.816,9130000.0,-0.69
27.09.2024,132.73,133.01,133.923,132.628,9340000.0,-0.21
26.09.2024,133.01,131.595,133.313,131.594,11620000.0,1.08
25.09.2024,131.586,132.156,132.982,131.489,10530000.0,-0.43
24.09.2024,132.156,130.57,133.073,130.57,9370000.0,1.22
23.09.2024,130.568,131.065,131.065,130.1,9140000.0,-0.38
20.09.2024,131.065,133.121,133.128,130.907,13610000.0,-1.55
19.09.2024,133.123,133.748,134.759,133.123,9250000.0,-0.47
18.09.2024,133.748,134.96,135.203,133.748,9790000.0,-0.9
17.09.2024,134.96,135.118,135.118,134.18,7310000.0,-0.12
16.09.2024,135.118,134.885,135.715,134.87,6710000.0,0.18
13.09.2024,134.882,134.031,135.879,134.031,8870000.0,0.64
12.09.2024,134.029,134.677,134.777,133.591,7000000.0,-0.48
11.09.2024,134.677,134.319,135.087,133.757,7950000.0,0.27
10.09.2024,134.32,134.738,134.738,133.754,8250000.0,-0.31
09.09.2024,134.737,134.574,135.25,134.399,6590000.0,0.12
06.09.2024,134.572,136.508,136.653,134.476,7560000.0,-1.41
05.09.2024,136.502,136.112,136.656,135.959,7530000.0,0.29
04.09.2024,136.111,134.359,136.838,134.359,9420000.0,1.31
03.09.2024,134.353,134.907,135.011,134.171,8800000.0,-0.41
02.09.2024,134.906,136.004,136.004,134.497,5530000.0,-0.81
30.08.2024,136.004,136.041,136.139,134.91,18400000.0,-0.03
29.08.2024,136.041,137.349,137.37,135.858,8390000.0,-0.95
28.08.2024,137.344,136.776,137.469,135.746,7460000.0,0.42
27.08.2024,136.776,136.888,137.213,136.664,6750000.0,-0.08
26.08.2024,136.889,135.608,137.013,135.596,7560000.0,0.94
23.08.2024,135.608,135.174,136.478,135.174,8650000.0,0.32
22.08.2024,135.173,136.462,136.462,134.836,8050000.000000001,-0.95
21.08.2024,136.464,136.088,137.04,136.086,9570000.0,0.28
20.08.2024,136.087,135.779,136.33,135.312,8109999.999999999,0.23
19.08.2024,135.778,133.953,136.179,133.953,11280000.0,1.36
16.08.2024,133.953,134.154,134.781,133.852,10870000.0,-0.15
15.08.2024,134.153,133.319,134.575,133.319,10530000.0,0.63
14.08.2024,133.318,132.398,133.777,132.112,12160000.0,0.69
13.08.2024,132.398,131.115,132.43,131.115,9800000.0,0.98
12.08.2024,131.116,130.615,131.662,130.615,8600000.0,0.38
09.08.2024,130.615,128.662,130.631,128.662,11320000.0,1.52
08.08.2024,128.661,127.515,128.793,127.515,8620000.0,0.9
07.08.2024,127.514,126.268,127.517,126.268,8840000.0,0.99
06.08.2024,126.267,125.27,126.966,125.261,10050000.0,0.8
05.08.2024,125.27,125.851,125.851,123.073,10890000.0,-0.46
02.08.2024,125.854,127.395,128.104,125.731,9950000.0,-1.21
01.08.2024,127.395,127.652,128.762,127.15,9810000.0,-0.2
31.07.2024,127.652,126.139,127.853,126.139,9470000.0,1.2
30.07.2024,126.139,126.951,126.951,125.973,6850000.0,-0.64
29.07.2024,126.954,127.492,127.657,126.606,7080000.0,-0.42
26.07.2024,127.492,125.964,127.7,125.953,8270000.0,1.22
25.07.2024,125.954,126.423,126.423,125.626,7130000.0,-0.37
24.07.2024,126.423,126.596,126.823,126.218,7300000.0,-0.13
23.07.2024,126.59,127.86,127.86,126.53,7020000.0,-0.99
22.07.2024,127.86,127.616,128.151,127.456,6100000.0,0.19
19.07.2024,127.616,127.652,128.36,127.413,7620000.0,-0.03
18.07.2024,127.652,129.45,129.454,127.523,7590000.0,-1.39
17.07.2024,129.45,129.112,129.658,128.741,6670000.0,0.26
16.07.2024,129.11,129.322,129.521,128.761,6820000.0,-0.16
15.07.2024,129.321,128.898,129.485,128.723,5830000.0,0.33
12.07.2024,128.897,128.293,129.015,128.002,7210000.0,0.47
11.07.2024,128.294,127.221,128.326,127.221,7970000.0,0.85
10.07.2024,127.218,127.109,127.769,126.928,8150000.0,0.09
09.07.2024,127.108,126.548,127.295,125.937,6680000.0,0.44
08.07.2024,126.548,126.28,126.551,125.614,7430000.0,0.22
05.07.2024,126.267,126.165,126.662,125.556,8090000.0,0.08
04.07.2024,126.164,125.666,126.66,125.666,6540000.0,0.4
03.07.2024,125.662,124.787,126.581,124.787,8530000.0,0.7
02.07.2024,124.787,124.72,125.491,124.31,8369999.999999999,0.06
01.07.2024,124.718,123.905,125.22,123.735,8230000.0,0.65
28.06.2024,123.907,124.308,124.5,123.298,9070000.0,-0.32
27.06.2024,124.308,122.642,124.308,122.642,8710000.0,1.36
26.06.2024,122.641,122.331,122.701,121.402,8180000.0,0.25
25.06.2024,122.331,122.634,122.849,121.997,6940000.0,-0.25
24.06.2024,122.637,121.343,122.84,121.307,7840000.0,1.07
21.06.2024,121.341,120.446,121.58,120.061,12910000.0,0.74
20.06.2024,120.446,120.267,121.607,120.156,8660000.0,0.15
19.06.2024,120.261,119.63,120.383,118.96,5650000.0,0.53
18.06.2024,119.63,119.138,120.109,118.872,8100000.0,0.41
17.06.2024,119.138,119.663,119.663,118.685,7380000.0,-0.44
14.06.2024,119.662,119.558,120.214,118.828,7850000.0,0.08
13.06.2024,119.568,119.936,120.222,119.171,8540000.0,-0.31
12.06.2024,119.936,121.644,122.483,119.544,11280000.0,-1.4
11.06.2024,121.635,120.76,121.759,120.757,7490000.0,0.73
10.06.2024,120.76,120.769,121.421,120.54,6570000.0,-0.01
07.06.2024,120.767,122.899,122.899,120.679,9800000.0,-1.73
06.06.2024,122.899,121.408,123.246,121.377,8400000.0,1.23
05.06.2024,121.407,121.803,122.17,121.253,8770000.0,-0.32
04.06.2024,121.802,122.032,122.032,120.878,8530000.0,-0.19
03.06.2024,122.032,122.1,122.495,121.496,8430000.0,-0.05
31.05.2024,122.098,122.704,122.837,121.929,15920000.0,-0.5
29.05.2024,122.707,123.78,123.78,122.458,8260000.0,-0.87
28.05.2024,123.78,124.498,125.392,123.537,9180000.0,-0.58
27.05.2024,124.496,124.297,124.535,124.081,4330000.0,0.15
24.05.2024,124.306,124.731,125.257,124.259,9210000.0,-0.34
23.05.2024,124.729,125.65,125.665,124.431,9990000.0,-0.73
22.05.2024,125.65,127.412,127.412,125.524,12400000.0,-1.38
21.05.2024,127.412,127.754,128.272,127.205,9140000.0,-0.27
20.05.2024,127.751,128.151,128.73,127.488,9340000.0,-0.31
17.05.2024,128.151,128.28,128.464,127.696,10260000.0,-0.1
16.05.2024,128.284,128.029,128.965,127.922,9860000.0,0.2
15.05.2024,128.028,128.514,128.646,127.029,10860000.0,-0.38
14.05.2024,128.515,128.155,128.965,127.962,11890000.0,0.28
13.05.2024,128.155,127.6,128.669,127.599,8920000.0,0.44
10.05.2024,127.6,128.188,129.022,127.467,12570000.0,-0.46
09.05.2024,128.188,129.468,129.468,127.376,13370000.0,-1.0
08.05.2024,129.481,129.21,129.564,128.048,9790000.0,0.21
07.05.2024,129.21,128.466,129.745,128.464,10180000.0,0.58
06.05.2024,128.466,128.506,129.181,128.294,8780000.0,-0.03
03.05.2024,128.509,127.13,128.787,127.13,12800000.0,1.09
02.05.2024,127.122,125.926,127.67,125.926,11550000.0,0.95
30.04.2024,125.924,127.352,127.352,125.856,10890000.0,-1.12
29.04.2024,127.352,126.527,127.352,126.467,8390000.0,0.65
26.04.2024,126.526,124.651,126.826,124.651,8900000.0,1.51
25.04.2024,124.646,124.718,124.732,123.703,10090000.0,-0.08
24.04.2024,124.741,125.149,125.473,124.556,10530000.0,-0.33
23.04.2024,125.148,125.572,125.826,124.31,11260000.0,-0.34
22.04.2024,125.573,125.124,126.081,124.633,10260000.0,0.36
19.04.2024,125.124,124.197,125.509,124.056,13600000.0,0.75
18.04.2024,124.196,124.171,125.14,123.397,10660000.0,0.02
17.04.2024,124.171,124.389,125.301,123.642,11370000.0,-0.17
